pH (eau);pH (eau)_Min;pH (eau)_Max;Carbone organique;Carbone organique_Min;Carbone organique_Max;ratio C/N;ratio C/N_Min;ratio C/N_Max;Azote total;Azote total_Min;Azote total_Max;Phosphore total;Phosphore total_Min;Phosphore total_Max;Bore (eau chaude);Bore (eau chaude)_Min;Bore (eau chaude)_Max;Capacité d'échange cationique;Capacité d'échange cationique_Min;Capacité d'échange cationique_Max
6,9;5,1;7;0,7;1,5;4,5;12,7;9,5;15,5;0,06;0,2;0,4;160;200;600;0,2;0,16;0,9;15,8;75;200
6,3;5,1;7;0,6;1,5;4,5;14,7;9,5;15,5;0,07;0,2;0,4;64;200;600;0,25;0,16;0,9;23,8;75;200
6,6;5,1;7;1,9;1,5;4,5;11,3;9,5;15,5;0,17;0,2;0,4;181;200;600;0,36;0,16;0,9;84,7;75;200
7,4;5,1;7;1,3;1,5;4,5;10,8;9,5;15,5;0,1;0,2;0,4;237;200;600;0,35;0,16;0,9;81,8;75;200
5,3;5,1;7;1,1;1,5;4,5;12,4;9,5;15,5;0,11;0,2;0,4;186;200;600;0,11;0,16;0,9;41,4;75;200
6,1;5,1;7;1,1;1,5;4,5;8,1;9,5;15,5;0,13;0,2;0,4;301;200;600;0,56;0,16;0,9;74;75;200
6,5;5,1;7;1,1;1,5;4,5;11,5;9,5;15,5;0,1;0,2;0,4;226;200;600;0,41;0,16;0,9;67,5;75;200
7,2;5,1;7;2;1,5;4,5;9,2;9,5;15,5;0,18;0,2;0,4;267;200;600;0,56;0,16;0,9;111,2;75;200
5,8;5,1;7;1,7;1,5;4,5;9,8;9,5;15,5;0,14;0,2;0,4;245;200;600;0,54;0,16;0,9;68,4;75;200
6,4;5,1;7;1,2;1,5;4,5;11,2;9,5;15,5;0,11;0,2;0,4;235;200;600;0,5;0,16;0,9;83,7;75;200
6,6;5,1;7;1,3;1,5;4,5;11;9,5;15,5;0,13;0,2;0,4;302;200;600;0,46;0,16;0,9;71,1;75;200
6,8;5,1;7;2,6;1,5;4,5;8,8;9,5;15,5;0,25;0,2;0,4;224;200;600;0,44;0,16;0,9;122,1;75;200
5,9;5,1;7;1,5;1,5;4,5;10,1;9,5;15,5;0,17;0,2;0,4;274;200;600;0,26;0,16;0,9;59,4;75;200
6;5,1;7;1,3;1,5;4,5;11,8;9,5;15,5;0,13;0,2;0,4;258;200;600;0,59;0,16;0,9;74,4;75;200
6,9;5,1;7;1,2;1,5;4,5;10,4;9,5;15,5;0,12;0,2;0,4;470;200;600;0,26;0,16;0,9;79,4;75;200
6,3;5,1;7;1;1,5;4,5;15,8;9,5;15,5;0,09;0,2;0,4;346;200;600;0,36;0,16;0,9;27;75;200
6,4;5,1;7;0,7;1,5;4,5;13,8;9,5;15,5;0,08;0,2;0,4;136;200;600;0,14;0,16;0,9;18,6;75;200
6;5,1;7;0,5;1,5;4,5;13,7;9,5;15,5;0,04;0,2;0,4;10;200;600;0,08;0,16;0,9;10,1;75;200
6;5,1;7;1,1;1,5;4,5;12,1;9,5;15,5;0,1;0,2;0,4;289;200;600;0,41;0,16;0,9;89;75;200
6,4;5,1;7;0,7;1,5;4,5;12,7;9,5;15,5;0,08;0,2;0,4;10;200;600;0,08;0,16;0,9;27,2;75;200
6,1;5,1;7;0,9;1,5;4,5;11,5;9,5;15,5;0,09;0,2;0,4;185;200;600;0,18;0,16;0,9;29,3;75;200
5,9;5,1;7;1;1,5;4,5;13,9;9,5;15,5;0,11;0,2;0,4;312;200;600;0,53;0,16;0,9;54,6;75;200
6,1;5,1;7;1,6;1,5;4,5;10,1;9,5;15,5;0,15;0,2;0,4;235;200;600;0,42;0,16;0,9;102,6;75;200
6,5;5,1;7;0,6;1,5;4,5;16,6;9,5;15,5;0,04;0,2;0,4;158;200;600;0,04;0,16;0,9;25,9;75;200
6,5;5,1;7;0,8;1,5;4,5;12,4;9,5;15,5;0,07;0,2;0,4;152;200;600;0,07;0,16;0,9;35;75;200
5,8;5,1;7;1,1;1,5;4,5;10,8;9,5;15,5;0,1;0,2;0,4;303;200;600;0,4;0,16;0,9;43,3;75;200
5,9;5,1;7;1;1,5;4,5;12,1;9,5;15,5;0,1;0,2;0,4;103;200;600;0,13;0,16;0,9;34,3;75;200
6,5;5,1;7;0,6;1,5;4,5;13,8;9,5;15,5;0,05;0,2;0,4;59;200;600;0,11;0,16;0,9;25,8;75;200
5,8;5,1;7;0,9;1,5;4,5;10,9;9,5;15,5;0,09;0,2;0,4;114;200;600;0,06;0,16;0,9;37,9;75;200
7,2;5,1;7;1,2;1,5;4,5;11,5;9,5;15,5;0,11;0,2;0,4;227;200;600;0,26;0,16;0,9;65,4;75;200
5,9;5,1;7;0,5;1,5;4,5;14,5;9,5;15,5;0,05;0,2;0,4;264;200;600;0,09;0,16;0,9;25,2;75;200
6,1;5,1;7;1,1;1,5;4,5;11,3;9,5;15,5;0,12;0,2;0,4;335;200;600;0,42;0,16;0,9;87,8;75;200
5,7;5,1;7;1,1;1,5;4,5;11,7;9,5;15,5;0,11;0,2;0,4;227;200;600;0,47;0,16;0,9;33,7;75;200
6,6;5,1;7;1,2;1,5;4,5;14,2;9,5;15,5;0,11;0,2;0,4;239;200;600;0,17;0,16;0,9;54,3;75;200
6,1;5,1;7;0,6;1,5;4,5;12,5;9,5;15,5;0,06;0,2;0,4;104;200;600;0,08;0,16;0,9;30,6;75;200
5,9;5,1;7;0,9;1,5;4,5;11,4;9,5;15,5;0,11;0,2;0,4;262;200;600;0,1;0,16;0,9;43,6;75;200
5,7;5,1;7;1,5;1,5;4,5;15,5;9,5;15,5;0,13;0,2;0,4;191;200;600;0,09;0,16;0,9;21,3;75;200
6;5,1;7;0,8;1,5;4,5;13,9;9,5;15,5;0,08;0,2;0,4;118;200;600;0,18;0,16;0,9;54,7;75;200
5,7;5,1;7;1,2;1,5;4,5;13;9,5;15,5;0,12;0,2;0,4;236;200;600;0,37;0,16;0,9;62;75;200
6,2;5,1;7;0,8;1,5;4,5;13,8;9,5;15,5;0,08;0,2;0,4;431;200;600;0,41;0,16;0,9;26,9;75;200
6,1;5,1;7;1;1,5;4,5;14,4;9,5;15,5;0,1;0,2;0,4;301;200;600;0,36;0,16;0,9;57,7;75;200
6,5;5,1;7;0,6;1,5;4,5;14,9;9,5;15,5;0,06;0,2;0,4;156;200;600;0,36;0,16;0,9;51;75;200
6,3;5,1;7;0,7;1,5;4,5;13,2;9,5;15,5;0,06;0,2;0,4;23;200;600;0,12;0,16;0,9;4;75;200
5,7;5,1;7;1,1;1,5;4,5;11,1;9,5;15,5;0,12;0,2;0,4;120;200;600;0,15;0,16;0,9;6;75;200
5,6;5,1;7;0,8;1,5;4,5;10,8;9,5;15,5;0,07;0,2;0,4;41;200;600;0,18;0,16;0,9;3;75;200
5,4;5,1;7;0,9;1,5;4,5;12;9,5;15,5;0,09;0,2;0,4;117;200;600;0,15;0,16;0,9;3;75;200
6,1;5,1;7;0,6;1,5;4,5;12,5;9,5;15,5;0,03;0,2;0,4;203;200;600;0,14;0,16;0,9;4;75;200
6,1;5,1;7;0,8;1,5;4,5;14,8;9,5;15,5;0,06;0,2;0,4;71;200;600;0,19;0,16;0,9;5;75;200
6,3;5,1;7;0,7;1,5;4,5;11,4;9,5;15,5;0,11;0,2;0,4;276;200;600;0,15;0,16;0,9;7;75;200
6,4;5,1;7;1,4;1,5;4,5;9,1;9,5;15,5;0,15;0,2;0,4;226;200;600;0,21;0,16;0,9;7;75;200
6,7;5,1;7;2,4;1,5;4,5;11,7;9,5;15,5;0,21;0,2;0,4;652;200;600;0,39;0,16;0,9;15;75;200
7,7;5,1;7;2,6;1,5;4,5;10,5;9,5;15,5;0,24;0,2;0,4;785;200;600;0,49;0,16;0,9;11;75;200
7;5,1;7;2,7;1,5;4,5;10,1;9,5;15,5;0,21;0,2;0,4;586;200;600;0,43;0,16;0,9;12;75;200
6,2;5,1;7;2;1,5;4,5;12,2;9,5;15,5;0,15;0,2;0,4;101;200;600;0,25;0,16;0,9;4;75;200
5,4;5,1;7;0,8;1,5;4,5;10,7;9,5;15,5;0,07;0,2;0,4;99;200;600;0,17;0,16;0,9;1;75;200
5,2;5,1;7;0,8;1,5;4,5;14,2;9,5;15,5;0,05;0,2;0,4;43;200;600;0,17;0,16;0,9;1;75;200
4,8;5,1;7;0,8;1,5;4,5;12,3;9,5;15,5;0,08;0,2;0,4;94;200;600;0,13;0,16;0,9;1;75;200
5,7;5,1;7;0,8;1,5;4,5;12;9,5;15,5;0,09;0,2;0,4;157;200;600;0,2;0,16;0,9;1;75;200
4,3;5,1;7;0,8;1,5;4,5;13,6;9,5;15,5;0,07;0,2;0,4;92;200;600;0,16;0,16;0,9;1;75;200
5,7;5,1;7;0,7;1,5;4,5;10,9;9,5;15,5;0,06;0,2;0,4;88;200;600;0,19;0,16;0,9;2;75;200
5,4;5,1;7;0,9;1,5;4,5;11,7;9,5;15,5;0,06;0,2;0,4;130;200;600;0,14;0,16;0,9;1;75;200
5,3;5,1;7;1,1;1,5;4,5;12,5;9,5;15,5;0,09;0,2;0,4;232;200;600;0,2;0,16;0,9;1;75;200
5,7;5,1;7;1,7;1,5;4,5;11,8;9,5;15,5;0,14;0,2;0,4;163;200;600;0,24;0,16;0,9;1;75;200
6,6;5,1;7;0,8;1,5;4,5;14,5;9,5;15,5;0,06;0,2;0,4;164;200;600;0,21;0,16;0,9;3;75;200
5,5;5,1;7;1,1;1,5;4,5;13,1;9,5;15,5;0,11;0,2;0,4;122;200;600;0,2;0,16;0,9;1;75;200
4,9;5,1;7;0,9;1,5;4,5;10,3;9,5;15,5;0,08;0,2;0,4;45;200;600;0,14;0,16;0,9;1;75;200
5,8;5,1;7;0,9;1,5;4,5;10,9;9,5;15,5;0,08;0,2;0,4;113;200;600;0,14;0,16;0,9;1;75;200
5;5,1;7;0,9;1,5;4,5;11,1;9,5;15,5;0,1;0,2;0,4;116;200;600;0,16;0,16;0,9;1;75;200
6,2;5,1;7;1,5;1,5;4,5;10,2;9,5;15,5;0,16;0,2;0,4;262;200;600;0,23;0,16;0,9;5;75;200
5,3;5,1;7;1,3;1,5;4,5;11,1;9,5;15,5;0,11;0,2;0,4;108;200;600;0,17;0,16;0,9;1;75;200
6,7;5,1;7;2;1,5;4,5;11,9;9,5;15,5;0,2;0,2;0,4;405;200;600;0,3;0,16;0,9;10;75;200
6,4;5,1;7;2,1;1,5;4,5;9,3;9,5;15,5;0,22;0,2;0,4;354;200;600;0,29;0,16;0,9;8;75;200
7,4;5,1;7;2,2;1,5;4,5;8,6;9,5;15,5;0,23;0,2;0,4;300;200;600;0,38;0,16;0,9;7;75;200
6,8;5,1;7;2;1,5;4,5;9,7;9,5;15,5;0,2;0,2;0,4;366;200;600;0,33;0,16;0,9;10;75;200
6,4;5,1;7;1,7;1,5;4,5;8,9;9,5;15,5;0,19;0,2;0,4;190;200;600;0,32;0,16;0,9;7;75;200
6,2;5,1;7;1,5;1,5;4,5;10,2;9,5;15,5;0,17;0,2;0,4;544;200;600;0,07;0,16;0,9;7;75;200
5,9;5,1;7;1,4;1,5;4,5;11,8;9,5;15,5;0,14;0,2;0,4;191;200;600;0,22;0,16;0,9;3;75;200
6,8;5,1;7;1,1;1,5;4,5;10,9;9,5;15,5;0,09;0,2;0,4;146;200;600;0,23;0,16;0,9;5;75;200
6,4;5,1;7;2,2;1,5;4,5;10,7;9,5;15,5;0,22;0,2;0,4;368;200;600;0,33;0,16;0,9;9;75;200
6,3;5,1;7;2;1,5;4,5;10;9,5;15,5;0,2;0,2;0,4;382;200;600;0,29;0,16;0,9;7;75;200
7;5,1;7;3,2;1,5;4,5;10,2;9,5;15,5;0,33;0,2;0,4;468;200;600;0,44;0,16;0,9;9;75;200
6,6;5,1;7;2;1,5;4,5;10,6;9,5;15,5;0,2;0,2;0,4;326;200;600;0,31;0,16;0,9;9;75;200
5,8;5,1;7;1,8;1,5;4,5;10,7;9,5;15,5;0,17;0,2;0,4;383;200;600;0,23;0,16;0,9;4;75;200
6;5,1;7;1;1,5;4,5;9,9;9,5;15,5;0,1;0,2;0,4;169;200;600;0,18;0,16;0,9;3;75;200
6,6;5,1;7;1,9;1,5;4,5;9,1;9,5;15,5;0,22;0,2;0,4;494;200;600;0,3;0,16;0,9;11;75;200
6;5,1;7;1,3;1,5;4,5;10,5;9,5;15,5;0,12;0,2;0,4;343;200;600;0,08;0,16;0,9;4;75;200
6;5,1;7;1,7;1,5;4,5;9,9;9,5;15,5;0,16;0,2;0,4;227;200;600;0,28;0,16;0,9;5;75;200
6,5;5,1;7;1,1;1,5;4,5;11,6;9,5;15,5;0,11;0,2;0,4;172;200;600;0,25;0,16;0,9;5;75;200
